Respondent_ID,Timestamp,Age_Group,Gender,Region,Education,Preferred_Tool,Satisfaction,Feedback,Date
R0001,2024-03-07,25-34,Male,West,Undergraduate,Tableau,5,Tableau makes visualizations very easy.,2024-03-07
R0002,2024-03-20,18-24,Male,North,Postgraduate,R,5,Tableau makes visualizations very easy.,2024-03-20
R0003,2024-03-29,25-34,Female,South,Undergraduate,R,5,Python has a huge community and many libraries.,2024-03-29
R0004,2024-03-15,25-34,Female,North,Postgraduate,Python,5,Python has a huge community and many libraries.,2024-03-15
R0005,2024-03-11,25-34,Female,North,Undergraduate,SQL,1,Python automation saves a lot of time.,2024-03-11
R0006,2024-03-08,18-24,Non-binary,North,Postgraduate,Excel,3,Python automation saves a lot of time.,2024-03-08
R0007,2024-03-29,35-44,Male,North,Undergraduate,Python,1,Python automation saves a lot of time.,2024-03-29
R0008,2024-03-21,18-24,Male,East,Undergraduate,Python,4,I prefer Excel because it is beginner friendly.,2024-03-21
R0009,2024-03-07,18-24,Female,East,Working Professional,Excel,5,Python has a huge community and many libraries.,2024-03-07
R0010,2024-03-26,18-24,Male,North,Postgraduate,Excel,3,Excel dashboards are quick to build.,2024-03-26
R0011,2024-03-19,25-34,Non-binary,South,Undergraduate,Python,5,Python automation saves a lot of time.,2024-03-19
R0012,2024-03-23,25-34,Male,West,Working Professional,Tableau,2,Python automation saves a lot of time.,2024-03-23
R0013,2024-03-11,18-24,Non-binary,South,Undergraduate,Python,5,SQL is essential for database-related work.,2024-03-11
R0014,2024-03-11,25-34,Male,South,Working Professional,R,4,Python is very powerful and easy to learn.,2024-03-11
R0015,2024-03-24,18-24,Female,South,Postgraduate,Tableau,2,Excel dashboards are quick to build.,2024-03-24
R0016,2024-03-21,25-34,Female,North,Undergraduate,R,4,Python automation saves a lot of time.,2024-03-21
R0017,2024-03-04,18-24,Non-binary,East,Undergraduate,Excel,3,Python automation saves a lot of time.,2024-03-04
R0018,2024-03-08,25-34,Male,South,Undergraduate,Python,3,Python automation saves a lot of time.,2024-03-08
R0019,2024-03-24,18-24,Female,North,Postgraduate,Python,3,Python is very powerful and easy to learn.,2024-03-24
R0020,2024-03-03,45+,Non-binary,South,Postgraduate,Tableau,5,Python is very powerful and easy to learn.,2024-03-03
R0021,2024-03-22,18-24,Female,South,Undergraduate,R,4,I prefer Excel because it is beginner friendly.,2024-03-22
R0022,2024-03-21,18-24,Female,North,Undergraduate,SQL,3,Excel dashboards are quick to build.,2024-03-21
R0023,2024-03-02,18-24,Female,East,Working Professional,Python,4,I prefer Excel because it is beginner friendly.,2024-03-02
R0024,2024-03-24,45+,Male,East,Working Professional,Python,5,R is great for statistics and research.,2024-03-24
R0025,2024-03-12,35-44,Female,West,Postgraduate,Python,3,Python is very powerful and easy to learn.,2024-03-12
R0026,2024-03-30,18-24,Female,North,Undergraduate,Excel,4,SQL is essential for database-related work.,2024-03-30
R0027,2024-03-06,25-34,Female,West,Undergraduate,Python,2,Python has a huge community and many libraries.,2024-03-06
R0028,2024-03-02,35-44,Male,West,Undergraduate,SQL,3,SQL is essential for database-related work.,2024-03-02
R0029,2024-03-28,25-34,Male,West,Working Professional,R,4,Python has a huge community and many libraries.,2024-03-28
R0030,2024-03-21,25-34,Non-binary,East,Undergraduate,Tableau,3,Python is very powerful and easy to learn.,2024-03-21
R0031,2024-03-01,18-24,Female,North,Postgraduate,Python,4,Python is very powerful and easy to learn.,2024-03-01
R0032,2024-03-12,18-24,Male,West,Undergraduate,SQL,5,Python is very powerful and easy to learn.,2024-03-12
R0033,2024-03-26,35-44,Female,North,Postgraduate,SQL,2,I prefer Excel because it is beginner friendly.,2024-03-26
R0034,2024-03-22,35-44,Male,North,Postgraduate,SQL,4,Excel dashboards are quick to build.,2024-03-22
R0035,2024-03-29,25-34,Male,East,Working Professional,SQL,3,Python has a huge community and many libraries.,2024-03-29
R0036,2024-03-12,18-24,Male,West,Undergraduate,SQL,5,Excel dashboards are quick to build.,2024-03-12
R0037,2024-03-25,18-24,Male,West,Undergraduate,Excel,4,I prefer Excel because it is beginner friendly.,2024-03-25
R0038,2024-03-17,25-34,Female,North,Undergraduate,Python,5,I prefer Excel because it is beginner friendly.,2024-03-17
R0039,2024-03-27,35-44,Male,South,Working Professional,Python,4,Tableau makes visualizations very easy.,2024-03-27
R0040,2024-03-27,35-44,Non-binary,East,Working Professional,Tableau,1,SQL is essential for database-related work.,2024-03-27
R0041,2024-03-10,25-34,Non-binary,East,Postgraduate,Excel,4,SQL is essential for database-related work.,2024-03-10
R0042,2024-03-28,25-34,Female,East,Postgraduate,SQL,5,R is great for statistics and research.,2024-03-28
R0043,2024-03-28,18-24,Female,East,Postgraduate,R,4,Python automation saves a lot of time.,2024-03-28
R0044,2024-03-16,18-24,Male,West,Undergraduate,Python,5,I prefer Excel because it is beginner friendly.,2024-03-16
R0045,2024-03-15,35-44,Female,West,Working Professional,Python,5,Python has a huge community and many libraries.,2024-03-15
